     R, Ang  Interaction energy, cm-1 (Theta is fixed zero)

     5.25   21.77
     5.50    6.81
     5.75   -2.04
     6.00   -6.82
     6.25   -9.01
     6.50   -9.65
     6.75   -9.41
     7.00   -8.65
     7.25   -7.72
     7.50   -6.74
     7.75   -5.79
     8.00   -4.93
     8.25   -4.17
     8.50   -3.50
     8.75   -2.95
     9.00   -2.48
     9.25   -2.08
     9.50   -1.75
     9.75   -1.47
    10.00   -1.24
    10.50   -0.89
    11.00   -0.66
    12.00   -0.36
    13.00   -0.21
    14.00   -0.12
    15.00   -0.07
    17.00   -0.02
    20.00    0.01
                                                  
