     R, Ang  Theta    Interaction energy, cm-1

     5.25     0.0     6.00
     5.25    10.0     6.12
     5.25    20.0     6.48
     5.25    30.0     7.01
     5.25    40.0     7.66
     5.25    50.0     8.29
     5.25    60.0     8.86
     5.25    70.0     9.31
     5.25    80.0     9.60
     5.25    90.0     9.70
     5.50     0.0    -3.44
     5.50    10.0    -3.30
     5.50    20.0    -2.89
     5.50    30.0    -2.28
     5.50    40.0    -1.57
     5.50    50.0    -0.84
     5.50    60.0    -0.19
     5.50    70.0     0.33
     5.50    80.0     0.66
     5.50    90.0     0.77
     5.75     0.0    -8.30
     5.75    10.0    -8.16
     5.75    20.0    -7.77
     5.75    30.0    -7.17
     5.75    40.0    -6.47
     5.75    50.0    -5.76
     5.75    60.0    -5.12
     5.75    70.0    -4.61
     5.75    80.0    -4.28
     5.75    90.0    -4.17
     6.00     0.0   -10.34
     6.00    10.0   -10.21
     6.00    20.0    -9.85
     6.00    30.0    -9.31
     6.00    40.0    -8.68
     6.00    50.0    -8.03
     6.00    60.0    -7.44
     6.00    70.0    -6.98
     6.00    80.0    -6.69
     6.00    90.0    -6.59
     6.25     0.0   -10.70
     6.25    10.0   -10.60
     6.25    20.0   -10.29
     6.25    30.0    -9.82
     6.25    40.0    -9.27
     6.25    50.0    -8.70
     6.25    60.0    -8.20
     6.25    70.0    -7.79
     6.25    80.0    -7.54
     6.25    90.0    -7.45
     6.50     0.0   -10.17
     6.50    10.0   -10.08
     6.50    20.0    -9.82
     6.50    30.0    -9.43
     6.50    40.0    -8.96
     6.50    50.0    -8.49
     6.50    60.0    -8.06
     6.50    70.0    -7.72
     6.50    80.0    -7.50
     6.50    90.0    -7.43
     6.75     0.0    -9.18
     6.75    10.0    -9.11
     6.75    20.0    -8.89
     6.75    30.0    -8.57
     6.75    40.0    -8.18
     6.75    50.0    -7.79
     6.75    60.0    -7.43
     6.75    70.0    -7.15
     6.75    80.0    -6.97
     6.75    90.0    -6.91
     7.00     0.0    -8.04
     7.00    10.0    -7.98
     7.00    20.0    -7.80
     7.00    30.0    -7.54
     7.00    40.0    -7.22
     7.00    50.0    -6.90
     7.00    60.0    -6.61
     7.00    70.0    -6.38
     7.00    80.0    -6.23
     7.00    90.0    -6.18
     7.25     0.0    -6.89
     7.25    10.0    -6.84
     7.25    20.0    -6.70
     7.25    30.0    -6.48
     7.25    40.0    -6.23
     7.25    50.0    -5.97
     7.25    60.0    -5.73
     7.25    70.0    -5.54
     7.25    80.0    -5.42
     7.25    90.0    -5.38
     7.50     0.0    -5.84
     7.50    10.0    -5.80
     7.50    20.0    -5.68
     7.50    30.0    -5.51
