     R, Ang   Interaction energy, cm -1 (Theta is fixed zero)

     5.25     6.00
     5.50    -3.44
     5.75    -8.30
     6.00   -10.34
     6.25   -10.71
     6.50   -10.17
     6.75    -9.18
     7.00    -8.04
     7.25    -6.89
     7.50    -5.84
     7.75    -4.90
     8.00    -4.09
     8.25    -3.41
     8.50    -2.84
     8.75    -2.38
     9.00    -1.97
     9.25    -1.65
     9.50    -1.39
     9.75    -1.17
    10.00    -0.98
    10.50    -0.70
    11.00    -0.51
    12.00    -0.28
    13.00    -0.15
    14.00    -0.08
    15.00    -0.04
    17.00     0.00
    20.00     0.02
                                                  
